comment_id,text_raw,channel_name,source_type,language_detected,layer1_utility_label
UgxqSrahw21rkARvoqd4AaABAg.A_DEs46JQKQA_OxfbyM0Ja,😢😢😢😢😢😢😢😢😢😢,Truth with Chamuditha,video_comment,Emoji_only,NOISE
UgxClEQvjumy_ByS9HB4AaABAg,Sinawa lassani,Hari TV - Lahiru Mudalige,video_comment,Singlish,VALID
UgzkDF3YNHNCzuq2DaN4AaABAg,Kakkusi mali,Ada Derana,video_comment,English,VALID
LCC.EhwKGkNOWDY4NDNmdVpZREZRTEJ3Z1FkS1hzckxR,🩷🩷🩷🩷🩷🩷🩷🩷,Hiru News,live_chat,Emoji_only,NOISE
UgwigrRzluus1G82yjl4AaABAg,Yes suda you’re correct,Sudaa Creation,video_comment,Singlish,VALID
LCC.EhwKGkNOWFF4ZlN3dVpZREZSM2Q1d01kWXhrZ0x3,සජානි ❤️🌹,Hiru News,live_chat,Sinhala,VALID
UgyAMEOJCT8WbFbvT2h4AaABAg.A_tKIC0PQgPA_tNWMjIENl,Ou atta umali akka. Oya hithnw wdiy 🥰 athal eke inna😊,Hari TV - Lahiru Mudalige,video_comment,Singlish,VALID
LCC.EhwKGkNQSHc4S3ZZdXBZREZjMVFUQWdkcWdNVEVB,නෙතු.බායී,Hiru News,live_chat,Sinhala,VALID
UgzaQFr0cvwux4zY2yl4AaABAg,සංවිධානාත්මක මනුෂ්‍ය ඝාතන වලට සහ මත්ද්‍රව්‍ය ජාවාරම් කරුවන්ට මරණ දඩුවම දිය යුතුමය.,Sirasa News First,video_comment,Sinhala,VALID
Ugx5az373sM7gQSk1St4AaABAg,Oya taruna parapura ikmanata hamuda camp walata dala hari ikmanin punaruttapanayakarapall a paw ahinsaka taruna parapura,Sirasa News First,video_comment,Mixed,VALID
LCC.EhwKGkNPN2hzZi16dVpZREZRX281d01kTTkwci1R,ai mokada sudu kodi ane,Ada Derana,live_chat,Singlish,VALID
UgxHZFt6dEl4q64MgTh4AaABAg.A_PX75PC5t4A_PXiBZQRpy,"ආයෙ ඉතිං ඒක අහන්න දෙයක් නෑ. එක්නැළිගොඩ, තාජුඩීන්, ලසන්ත, කේස් වගේම තමයි. ඒවයෙ ඕඩර් එක දුන්න එවුන් බේරුනා. ඒ වගේ තමයි. පවට කරගහපු එවුන් එල්ලුම් ගහට යන්නේ.",Sudaa Creation,video_comment,Sinhala,VALID
Ugy1rYjFWT2YUJS0JaJ4AaABAg,ජීවිතේ කෙලෝ ගෙන කෙලෝ ගෙන දැන් නම් ටිකක් මොලෙ කල්පනා කරල වැඩ කරනවා වගේ පේනවා,Hari TV - Lahiru Mudalige,video_comment,Sinhala,VALID
LCC.EhwKGkNOVHA2S1d6dVpZREZhWEh3Z1FkSHA4N2Zn,බයියෝ මේකේ තටමන්න නැතුව කුඩු හිරුයි නයි දෙරණයි බලපල්ලා උන් තමා බයියෝ තෙත් කරන්නේ,Sirasa News First,live_chat,Sinhala,VALID
LCC.EhwKGkNPVFpwZUd6dVpZREZVWER3Z1FkZjVvV3lR,මොනාද ජොබ්,Hiru News,live_chat,Sinhala,VALID
Ugyzuw1oJT9ebWKl4XF4AaABAg,❤❤❤❤❤❤❤❤❤,Sudaa Creation,video_comment,Emoji_only,NOISE
UgzLgBTvDvXg64aW5Ph4AaABAg,Malimawata jayawewa ❤,Ada Derana,video_comment,Singlish,VALID
UgwG3wXqGCxqd3mqDr54AaABAg,❤❤,Hari TV - Lahiru Mudalige,video_comment,Emoji_only,NOISE
UgzrsepXmq9mCYgr3jt4AaABAg,මේකම බලපු කළේත් අපරාදේ,Ada Derana,video_comment,Sinhala,VALID
UgzyJpszxVOP3t_oB5R4AaABAg,නිවන් සුව😂😂😂😂😂,Truth with Chamuditha,video_comment,Sinhala,VALID
LCC.EhwKGkNOcUNyNTNpdVpZREZhTjFUQWdkZFpZSzBR,Oyala hotama budusaranai pi sdb b:hand-pink-waving::hand-pink-waving::hand-pink-waving::hand-pink-waving::hand-pink-waving::hand-pink-waving::hand-pink-waving::hand-pink-waving::hand-pink-waving::hand-pink-waving:ye,Sirasa News First,live_chat,Singlish,VALID
LCC.EhwKGkNPV1BtWjIydVpZREZZWEN3Z1FkY3BNT1lB,kata vahapan sajani,Hiru News,live_chat,Singlish,VALID
LCC.EhwKGkNPX1RxYkdadDVZREZVTEx3Z1FkQXI4SXZ3,රදිෂා අක්කගෙ මගුලත් කැඩුවෙ සුදු නෝනා,Hiru News,live_chat,Sinhala,VALID
Ugza0Aj7HQv7Vuop9tl4AaABAg,❤❤❤❤,Sudaa Creation,video_comment,Emoji_only,NOISE
Ugw1yB4K9Q0EPFcuCa54AaABAg,ලස්සනයි කතාව ❤❤❤😊😊😊,TV Derana,video_comment,Sinhala,VALID
Ugy0WSKH9hI8Km-YjYx4AaABAg.A_6DyY88ogtA_7KbExiaqj,යකො ආන්ඩුවෙ උන් හොරාකාපු නඩු නැ උන් එවා ගෙන්නෙ නැ මරු CID එකෙ උන්ට කඩේ ගිය උන් දාගෙන,Sirasa News First,video_comment,Mixed,VALID
UgwrFjbbuyvPj5GCHn94AaABAg,Thattaya gotha gahanava,Sirasa News First,video_comment,English,VALID
UgxEZPuNMeG8DUljzkx4AaABAg.A_eWRKWDCfRA_g19d1GULW,ඔව් රක්ෂිතයක් කියන්නේ ඒකනේ,Truth with Chamuditha,video_comment,Sinhala,VALID
UgxRGj745HvZ0VZFYPF4AaABAg,Patta horung set ekka,Hiru News,video_comment,Singlish,VALID
UgyCnaKbxHC4lSBRdll4AaABAg,94 ඉදන් රනිල් මහතා U N P එකට නායකත්වය  දීලා    මේවනවිට ජාතික ලැයිස්තු වෙන් එක මන්ත්‍රීවරයකු  පමනක් එන තත්වෙට පක්ෂය පත්කරා ඉතිං එයා කියන අනාවැකි කවුද පිලිගන්නේ ?  පිස්සු කතා,Sirasa News First,video_comment,Mixed,VALID
LCC.EhwKGkNKLWZfT2lWdDVZREZXYlo1d01kSFR3WmFn,:hand-pink-waving::hand-pink-waving::hand-pink-waving::hand-pink-waving::hand-pink-waving:,Hiru News,live_chat,English,VALID
UgxjsjI58eJsTaUPnsd4AaABAg,"uba hithan inneth uba serama dannwa kiyalane,, gon jeppa..",Sudaa Creation,video_comment,Singlish,VALID
UgxZw1c16oEfgxmWkRl4AaABAg.AZkLHXIWvqmAZlgw7hL8Cg,තවත් මාලිමාවට කඩේ යන උන් හොයලා බැලුවොත් තුන්වේල කන්න නැති හිගනම මෝඩ වහල්ලු කොටස!,Truth with Chamuditha,video_comment,Sinhala,VALID
UgzFQJ8T83_1meC6A-14AaABAg,🎉🎉🎉🎉🎉,Sudaa Creation,video_comment,Emoji_only,NOISE
LCC.EhwKGkNPakRvTlRNdXBZREZiTGV3Z1FkeXdRVmhB,:face-blue-smiling::face-blue-smiling::face-blue-smiling::face-blue-smiling::face-blue-smiling:,Hiru News,live_chat,English,VALID
Ugz5gKL14M2IOG2R2nx4AaABAg.A_2rXnM0YVKA_44cns6Vnz,"True. If not for that part, he did a good interview too",Hari TV - Lahiru Mudalige,video_comment,English,VALID
UgxKPIm6nRBWIg5HGth4AaABAg.AZkSMnHTzIMAZlMzOSFR1m,🤷🏽‍♀️🤷🏽‍♀️,Sudaa Creation,video_comment,Emoji_only,NOISE
UgwynJaJcuxyoQs2Sd54AaABAg,❤❤❤,Hari TV - Lahiru Mudalige,video_comment,Emoji_only,NOISE
UgwzRJ_tDLFonA-a8Xd4AaABAg,Nehatamanai.harema.ahensakai.mateneyane.adarei,Sudaa Creation,video_comment,Singlish,VALID
UgyVGrbSNhIMqsIwl9Z4AaABAg,පන්සල් වල මුදල් පරිපාලනයට දායක සභාවල කමිටුවකට බාර කල යුතුයි. නැතිනම් මේ ගනයි පන්සල් වල සල්ලි වලින් ගැහැණුන් ට වියදම් කරනවා.,Sudaa Creation,video_comment,Sinhala,VALID
UgwZN4IJGDqAgXlNwGB4AaABAg,"මේව අහනකොට ආණ්ඩු වෙනසක් වෙලා තියෙනවද කියල හිතෙනව, මේ රට හැදෙන පාටක් නෑ,",Truth with Chamuditha,video_comment,Sinhala,VALID
UgwCpDKMj0unP2DmcEV4AaABAg,Me rajeew amarasuriya karaya eanilath ekka suruttu ura ura wine bibi hodata sakachcha karanawalune gal ranilaya prashne wisadaine😂,Ada Derana,video_comment,Singlish,VALID
Ugy5mZeVXgYQZGfVFJJ4AaABAg,nipuna arachchi apatayo topi kiyanawane Janata Sahana dunna kiyala bandagare salli pirila ithirilakiwa neda Yako naki tattayo topi awe malu allanna app hadanawa kiyagena neda ranil yanakota dalayo kilowa 350 naki tattayo tope pajata anduwa awit malu allanna app hadala Dan salayo kilowa 1200 topinam Rattata sapayak topi pannanawa 2029 toe anduwe bageta bagayak nilpata bas ake yai 2029,Ada Derana,video_comment,Singlish,VALID
UgxPm1ghn3MqEsK4mqh4AaABAg,Well said Najith. Thank you 🙏🙏👏👏👏,Sudaa Creation,video_comment,English,VALID
Ugyh0Aeei4nG3Bmhi5p4AaABAg,"@stephani I feel every single thing you described. As someone who survived childhood abuse and is still trying hard to get help and recover today, your honesty hits so close to home. Thank you for being so brave and inspiring—hearing your story helps me feel so much less alone in my own healing journey.",Hari TV - Lahiru Mudalige,video_comment,English,VALID
Ugx8lfdYpSVZ8spcIlh4AaABAg,බැලුවම ලංකාව මෙහෙම තියන එක ගැන පුදුමයි,Truth with Chamuditha,video_comment,Sinhala,VALID
UgwjnsihepGjxBt0E_J4AaABAg,Great 👍👍,Sudaa Creation,video_comment,English,VALID
UgxvBMoYo2jaQUMivul4AaABAg,😂😂😂😂mun okkoma  ekai😂gotath okapi  kiwwe..😂😂😂😂,Sirasa News First,video_comment,English,VALID
Ugzu8LnRjmZ5vGfIaJN4AaABAg.A_27HC74O8XA_4UeZy-qnW,Mama eyata hari kemathi,Hari TV - Lahiru Mudalige,video_comment,Singlish,VALID
UgyaZJaZxAEUrK6qemN4AaABAg,ඕකලා ඔට්ටු වෙන්නෙ නඩුවලින් බේරෙන්න   .,Hiru News,video_comment,Sinhala,VALID
UgySdr-GMdjmzIy2dOJ4AaABAg.A_3txnuHyQ2A_42MTALsdJ,පැහැදිලි කරන්ඩ වෙන .විනාශය මොකක්ද කියලා වැඩ කරනකොට   ස්වාධීන වෙලා මාසයක් පහුවුන ගමන් ඒක නැතිවෙන්නේ කොහොමද කියලා පැහැදිලි කරානම් නේ,Ada Derana,video_comment,Sinhala,VALID
LCC.EhwKGkNQYjZwdnZhdVpZREZhWEw1d01kSEpzV3hn,ඒක ලස්සන කතාවක් දැනගන්න ඕනද,Sirasa News First,live_chat,Sinhala,VALID
Ugzb-8o83F3sZe8aRH54AaABAg,පල් හොරු,Truth with Chamuditha,video_comment,Sinhala,VALID
UgxRv4j_0kl593PeZw54AaABAg.A_LGgerTJ9tA_LY740GM6X,"Sirase scene ekama thamai.

Malimawek awama Sathutu Suranga - 🐹
Wipakshe keneknawama Sathutu Suranga - 😈",Ada Derana,video_comment,Singlish,VALID
LCC.EhwKGkNONmg4Y3JadUpZREZSdkV3Z1FkWTNJTTNR,:face-purple-smiling-tears::face-purple-smiling-tears::face-purple-smiling-tears::face-purple-smiling-tears::face-purple-smiling-tears::face-purple-smiling-tears::face-purple-smiling-tears:,Hiru News,live_chat,English,VALID
UgxWWjfZuQ59KwHMfL94AaABAg,අයියෝ රිතුට  සල්ලි ටිකනේ දීලා තියෙන්නේ නයටවෙන්න ඇති නේද 😅😊,Sudaa Creation,video_comment,Sinhala,VALID
LCC.EhwKGkNNYmtvT0sxdVpZREZaZExUQWdkNkFnOU9n,hii,Ada Derana,live_chat,English,VALID
UgxN6Y_YiYk8S0N8ViN4AaABAg,"ව්‍යවස්තා  සංශෝධනය ක්  ,අධිකරණය වගේ  මාතෘ කාවක්  ගැන  කතා කරන්න  පස්  ඉන්දික වගේ   කෙනෙක්ට  දෙරණින් ආරාධනා කිරීමම   පොහොට්ටුව තවත් පදිරි කිරීමෙ  අරමුණක්.. අනික විද්වහ්  වාදය තියෙනකොට  මේවගේ  අම්බරුවෝ ගෙනාවහම ඒක   වාතපිටියක් වෙලා ගද ගහනවා...",Ada Derana,video_comment,Sinhala,VALID
UgyuW6sYHUs-gGoSccl4AaABAg,"ඔය   කියන   කාකි  සූට්
බල්ලෝ   එල්ලපියව් 😅",Truth with Chamuditha,video_comment,Sinhala,VALID
Ugwfl10DD7OrecHGOut4AaABAg,🫨,Truth with Chamuditha,video_comment,Emoji_only,NOISE
UgxzOu_tG5TSsuvN3XB4AaABAg,"Ahankarakama, Uddachchakama, Gewilawath Nethi Niliyak.🥰🥰🥰
Sarala Chaamkama Api Agekaramu.👍👍👍
Udata pallehata Nowetena Niliyak.
Malani fonsekalawage.❤❤❤❤",Hari TV - Lahiru Mudalige,video_comment,Singlish,VALID
UgxcTbW2zE1QjD7trF54AaABAg.A_f4U2U8QhHA_rEFaGyxje,@travhols You seem to relish that! After all this is your Country as well! Do you want it go back to that crowd of fraudsters who bankrupted the country in the first place taking enormous loans from private sources?,Sirasa News First,video_comment,English,VALID
UgwjGLFQ6mwCsz4tA354AaABAg,Mallia dennatama❤❤❤,Truth with Chamuditha,video_comment,English,VALID
UgxMd0AWG54dzjxpJvd4AaABAg,❤,Sudaa Creation,video_comment,Emoji_only,NOISE
Ugy-47Dbfj49f9JWngR4AaABAg.AZjKI1AiiDkAZjLrcJoS9X,"අපි නම් දන්නවා ඔයා තමයි දන්නේ නැත්තේ 
ආණ්ඩුවේ office වල පවා ඉන්නේ උන්ගේ උන්ම තමයි මොකෝ අවුරුදු ගානක් ඇතුළට ගියේ ඒ සෙට් එක 😂😂😂",Truth with Chamuditha,video_comment,Mixed,VALID
LCC.EhwKGkNOM2g2TzNjdVpZREZWTnRUQWdkVENJUzBB,😏,Sirasa News First,live_chat,Emoji_only,NOISE
Ugxlmn4zV5AII_bcuZ14AaABAg,අනේ මට කලන්තෙ වගේ අනෝමා😂,Sudaa Creation,video_comment,Sinhala,VALID
UgxtjX2GuIKyFVfV3o54AaABAg,niyamai redi left😂,Truth with Chamuditha,video_comment,English,VALID
UgxgEWro_Er0Kpk-PEh4AaABAg,❤❤❤,Truth with Chamuditha,video_comment,Emoji_only,NOISE
UgyjjP45q-CCh0AuE_d4AaABAg,පේනවා නේද මෙි කාලකණ්ණි මහජන මුදල් නිරපරාදේ වියදම් කරල තියන හැටි,Sirasa News First,video_comment,Sinhala,VALID
UgwgUkpMUO2QG5QANs14AaABAg,චමුව ලගට එන්නෙ ඔක්කොම මරන වරෙන්තුව අතට ගත්ත මිනිස්සු,Truth with Chamuditha,video_comment,Sinhala,VALID
Ugz-bzUnqCltqj-6RiJ4AaABAg.AZjNMM_GIeJAZktKNswR5u,දැන් පොලිසීයත් පහුගිය පොලිසියම තමයි. 😂😂,Truth with Chamuditha,video_comment,Sinhala,VALID
UgzC8es5zu3fkXjHhuZ4AaABAg,Latmaalli😂😂,Ada Derana,video_comment,English,VALID
Ugy9-IE97enerKDMwEB4AaABAg.AZu5PCk2mmBAZwbVlemakH,Yes😂,Truth with Chamuditha,video_comment,English,VALID
UgyCkLqqFU0lwwltx154AaABAg,පිංවන්ත පෞලක්.තෙරුවන් සරනයි .,Sudaa Creation,video_comment,Sinhala,VALID
UgxT_rZnTslKOU0NhiF4AaABAg,මේකට රාජපක්ෂ පවුල සම්බන්ධනම් එදිනම මේ රටින් පන්නා දැමීමට කටයුතු කල යුතුය ... වන්දි මුදල් අය කර ගැනීමෙන් අනතුරුව නැතිනම් ඕකුන්ටද අපේ මුදල් වලින් කෑම දෙන්න වෙනවා එදා වගේම 🧘‍♂,Sudaa Creation,video_comment,Sinhala,VALID
UgyClTGnVrRb24pRI3R4AaABAg,Mama pitta rata inna nissa mea wage program karanakotota  easama kaththakarana kanakuge tabal ekka uda wthura viduruwak hai wathura bothalayak hari thiyanawa..karunakarala eade karanna puluwannam hondai..thank you. ❤❤❤❤❤❤❤,Sirasa News First,video_comment,Singlish,VALID
UgySIwGWUydF7kf6ngh4AaABAg,"ඉදිරිපත් කර ඇති යෝජනාව ආණ්ඩුක්‍රම ව්‍යවස්ථාවට අනුකූලද යන්න තීරණය කිරීමත්, එම තීරණය ලබාදෙන පුද්ගලයා පෞද්ගලිකව එම යෝජනාවට කැමතිද අකමැතිද යන්නත් සම්පූර්ණයෙන්ම එකිනෙකට වෙනස් කරුණු දෙකකි. තීරණය ලබාදෙන පුද්ගලයා එම යෝජනාවට පෞද්ගලිකව අකමැති වුවද, එය ආණ්ඩුක්‍රම ව්‍යවස්ථාවට අනුකූල නම් ඔහුගේ තීරණය විය යුත්තේ එය ව්‍යවස්ථානුකූල බවයි.

මෙය ඉතා සරල නීතිමය මූලධර්මයකි. පෞද්ගලික මතය සහ ව්‍යවස්ථානුකූලභාවය පිළිබඳ නීතිමය තීරණය එකිනෙකට පටලවා ගනිමින් අනවශ්‍ය ලෙස දීර්ඝ තර්ක ගොඩනැගීමට කිසිදු අවශ්‍යතාවක් නැත.",Sirasa News First,video_comment,Sinhala,VALID
LCC.EhwKGkNMYkdfNVM1dVpZREZZX0d3Z1FkMlhRZnpB,API ada kattiya salli Dala wasse ice cream kawa. Dan hari ithin,Hiru News,live_chat,Singlish,VALID
UgxX552ot8QQI02F7254AaABAg,❤,Hari TV - Lahiru Mudalige,video_comment,Emoji_only,NOISE
LCC.EhwKGkNOWGF0cFd6dVpZREZVaW95d0VkOWlNY3Nn,මැදමුලනේ නාම්බා,Sirasa News First,live_chat,Sinhala,VALID
UgzJiLmyX1qrMCZ6r9N4AaABAg,Deshapalanayat    enna the     60.  Seemawa.   Genna.  Mun.  Nakiwe,Swarnawahini,video_comment,English,VALID
UgyyXda61KLkJrdzznF4AaABAg,❤,Hari TV - Lahiru Mudalige,video_comment,Emoji_only,NOISE
UgzPqRsOMAgbojkdXeJ4AaABAg,Loku loku salli karayanta wana nithiyak akai aththa,Sudaa Creation,video_comment,Singlish,VALID
Ugy0RTNU44-0LZZOyWt4AaABAg,😂😂😂,Truth with Chamuditha,video_comment,Emoji_only,NOISE
LCC.EhwKGkNOS3l3b21WdUpZREZhTkZUQWdkNWdBbE5R,.Chamodii gedrin dena pinbath gilala pinata data dagena gedrata horen live awit wesakm krna balli,Hiru News,live_chat,Singlish,VALID
UgxW34ibBwdwnbR7F-V4AaABAg,RAKSHITA WANA URUMA YAN MEE WIDIYATA WINAASA KARANNA DENNE KAWDA?,Truth with Chamuditha,video_comment,Singlish,VALID
UgwNWp3uSqxbxeNF7_p4AaABAg,ඌම කියන අනිත් කපුවෝ ඔක්කොම කළු සල්ලි සුදු  කරනවා  කියලා . ඌ විතරක් බබා.🤣🤣🤣 කාපුවා කෙලව ගත්තා මේකට ඇවිල්ලා.😁😁😁,Truth with Chamuditha,video_comment,Sinhala,VALID
Ugy-urUKv9AubS4A-eR4AaABAg,Attaemi malli,Truth with Chamuditha,video_comment,English,VALID
Ugy_D2tZlHjg3dFabKt4AaABAg,❤❤❤🎉,Hari TV - Lahiru Mudalige,video_comment,Emoji_only,NOISE
UgxSDV64B4fKP_jfddF4AaABAg,මමත් ඇත්තටම සාරංග සහ දිනක්ෂිගෙ video බලන්න ආසම නැහැ මොකද මන්ද,Hari TV - Lahiru Mudalige,video_comment,Mixed,VALID
LCC.EhwKGkNORFIydE8wdVpZREZhZkJ3Z1FkOVMweVh3,සිරස කඩේ යන මිහරක්,Sirasa News First,live_chat,Sinhala,VALID
UgxUSBWmCZl0QiSIVOV4AaABAg,👍👍👍👍👍👍👍,Sudaa Creation,video_comment,Emoji_only,NOISE
LCC.EhwKGkNMMnh6ZTYydVpZREZjUlVUQWdkOVI4SG1n,අපේ රටේ සියයට හැටක්..විතර බුද්ධිමත් මිනිස්සු..ඕනම වෙලාවේ හරි තීන්දුව අරගෙන ආණ්ඩුවට තුනෙන් දෙකේ බලය දුන්නා..දැන් පොඩ්ඩක් බලාගෙන ඉන්න වැඩේ කෙරෙනවා හොඳේ බොලේ..,Hiru News,live_chat,Sinhala,VALID
Ugxcm8D4EnU80r3wFbp4AaABAg.A_3NU_fgsnHA_3QNnDoR3L,"ආන්ඩු බලය 2/3 දුන්නු ජෙ.ආර් , ගෝටාබයත් රට විනාශ කරපු හැටි උඹ නොදැක්කාට අපි දැක්කා. 2/3 දුන්නෙ හිතෙන හිතෙන ඕනෑම රෙද්දක් කරන්න නෙමේ.",Hiru News,video_comment,Sinhala,VALID
Ugy_jdzsY_zWqmUT1rJ4AaABAg,All the best duwa! 💐 Theruwan saranai '🙏,Hari TV - Lahiru Mudalige,video_comment,English,VALID
UgzUPdDRvH6q05joRpx4AaABAg.A_cZPYlVJN5A_d0cUTWqlq,"එතකොට ජේ.ආර් ,ප්‍රේමදාස භාවනා කලාද?😂",Hiru News,video_comment,Sinhala,VALID
LCC.EhwKGkNOMnRfUGpZdVpZREZRREN3Z1FkN0FzR2pB,🤓,Hiru News,live_chat,Emoji_only,NOISE
UgzWajhmuGxY8x68hgJ4AaABAg,මෙි ලමයින් ගේ දෙමාපියන් නැද්ද පවි මොනවා දැන ගෙනද කතා කරන්නේ,Sudaa Creation,video_comment,Sinhala,VALID
UgzhqssDWuCD4JtKvL54AaABAg,කැදවෙලා මොකටද හොරැ ගෙදර යා යුතුයි,Hiru News,video_comment,Sinhala,VALID
UgwncDpNLu8abR6a8S94AaABAg,කඳුළු  na,Sudaa Creation,video_comment,Mixed,VALID
Ugym9C1PppyTQFqePRN4AaABAg,"දැනටත් තනතුරේ ඉන්න , පළපුරුද්ද තියෙන විනිසුරුවරුන්ගේ සේවා කාලය දිගු කරලා තවත් වැඩ ගන්න එකේ වරද මොකක්ද ? මෙච්චර කෑගහන්න ඕන දෙයක්ද ඒක ?  අනික මේ සංගමයේ විතරක් 26,000 ක් සාමාජිකයෝ ඉන්නවා කිවුවට 53 ක් අවශ්‍ය තැනට 35 ක් නම් සම්මුක පරීක්ෂණයකට පවා සුදුසු වෙන්නේ , එතැනත් මේ හිඟය ගැන හිතාගන්න පුළුවන් නේ .. එහෙම වාතාවරණයක ඉන්න පිරිසගෙන් තවත් වැඩ ගන්න එක නරක වෙන්නේ කොහොමද ?",Ada Derana,video_comment,Sinhala,VALID
UgwWZ8VDb1M_eB24u7t4AaABAg.A_Tc88TNQBjA_ZkOKUSbKK,එහෙනම් මෙහෙම කතා කරයිද 🙂,Swarnawahini,video_comment,Sinhala,VALID
UgxQZTRhrlkaT6Nb8gF4AaABAg,රිලාසිරිට මුකුත් නැද්ද,Sudaa Creation,video_comment,Sinhala,VALID
UgyKMo2qs2hczKYLQMB4AaABAg.A_jndTecSkPA_jpEHN9H-4,😂😂😂,Truth with Chamuditha,video_comment,Emoji_only,NOISE
Ugy_QwEgJg9c0JPlFUR4AaABAg.A_8wqOXFmU-A_M-1scNUyh,Sattu,Truth with Chamuditha,video_comment,English,VALID
LCC.EhwKGkNLV25rUG5kdVpZREZacy1yUVlkX0VzRUpB,ච,Hiru News,live_chat,Sinhala,NOISE
LCC.EhwKGkNLamozWUhWdUpZREZTRVNyUVlkRGtNUHlB,නෙතූ බුදුසරණයී දෙවිපිහිටයි පරිස්සමෙන් ඉන්න:hand-pink-waving:,Hiru News,live_chat,Mixed,VALID
LCC.EhwKGkNLNlRqTnlXdTVZREZZY1FkZ1lkT2g0OFB3,🤔🤔🤔,Hiru News,live_chat,Emoji_only,NOISE
